排名,学校名称,省市,总分,指标得分
1,清华大学,北京,综合,94.6,100
2,北京大学,北京,综合,76.5,95.2
3,浙江大学,浙江,综合,72.9,84.2
4,上海交通大学,上海,综合,72.1,91.1
5,复旦大学,上海,综合,65.6,91.6
6,中国科学技术大学,安徽,理工,60.9,91.1
7,华中科技大学,湖北,综合,58.9,80.1
7,南京大学,江苏,综合,58.9,86.2
9,中山大学,广东,综合,58.2,79.7
10,哈尔滨工业大学,黑龙江,理工,56.7,76.6
11,北京航空航天大学,北京,理工,56.3,86.9
12,武汉大学,湖北,综合,56.2,82.4
13,同济大学,上海,理工,55.7,85.2
14,西安交通大学,陕西,综合,55,82
15,四川大学,四川,综合,54.4,74
16,北京理工大学,北京,理工,54,79.7
17,东南大学,江苏,综合,53.6,79.4
18,南开大学,天津,综合,52.8,83.9
19,天津大学,天津,理工,52.3,80.1
20,华南理工大学,广东,理工,52,73.4
21,中南大学,湖南,综合,50.3,73.2
22,北京师范大学,北京,师范,49.7,82.7
23,山东大学,山东,综合,49.1,71.3
23,厦门大学,福建,综合,49.1,75.3
25,吉林大学,吉林,综合,48.9,71.9
26,大连理工大学,辽宁,理工,48.6,72.9
27,电子科技大学,四川,理工,48.4,73.8
28,湖南大学,湖南,综合,48.1,71.7
29,苏州大学,江苏,综合,47.3,64.7
30,西北工业大学,陕西,理工,46.7,74
31,中国人民大学,北京,综合,46.1,87.8
32,华东师范大学,上海,师范,46,77.9
33,南京航空航天大学,江苏,理工,44.8,71.4
34,对外经济贸易大学,北京,财经,44.7,81.9
35,南方科技大学,广东,综合,44.6,77
36,华东理工大学,上海,理工,44.5,71.4
37,重庆大学,重庆,综合,44.4,70.7
38,南京理工大学,江苏,理工,44.3,68.4
39,北京科技大学,北京,理工,43.9,71.1
40,东北大学,辽宁,理工,43.7,66.5
41,上海大学,上海,综合,43.4,66.3
42,北京邮电大学,北京,理工,42.9,76.1
42,上海财经大学,上海,财经,42.9,85.3
42,中国农业大学,北京,农业,42.9,68.5
45,武汉理工大学,湖北,理工,42.8,67.2
46,北京交通大学,北京,理工,42.6,70.8
46,华中师范大学,湖北,师范,42.6,68.4
48,西安电子科技大学,陕西,理工,42.1,70.5
49,中央财经大学,北京,财经,41.8,82.9
50,北京化工大学,北京,理工,41.7,64
51,暨南大学,广东,综合,41.5,68.1
52,东华大学,上海,理工,41.4,66.9
52,兰州大学,甘肃,综合,41.4,66.1
52,中南财经政法大学,湖北,财经,41.4,72.2
55,宁波诺丁汉大学,浙江,综合,40.3,60.4
56,哈尔滨工程大学,黑龙江,理工,40.1,67
56,华北电力大学,北京,理工,40.1,66.4
58,深圳大学,广东,综合,40,59.3
59,江南大学,江苏,综合,39.6,64.2
59,南京师范大学,江苏,师范,39.6,64.2
61,北京工业大学,北京,理工,39.5,65.9
62,福州大学,福建,理工,39.4,60.2
63,北京外国语大学,北京,语言,39.3,79.9
63,北京语言大学,北京,语言,39.3,69.3
63,中国地质大学（武汉）,湖北,理工,39.3,62.3
66,西南交通大学,四川,理工,39.2,64.8
67,华中农业大学,湖北,农业,39.1,60.8
67,中国海洋大学,山东,综合,39.1,67.5
69,南京农业大学,江苏,农业,39,60.5
70,上海外国语大学,上海,语言,38.8,76.6
71,中国矿业大学,江苏,理工,38.6,59.2
72,中国地质大学（北京）,北京,理工,38.5,61.6
73,东北财经大学,辽宁,财经,38.2,67
73,西南财经大学,四川,财经,38.2,73.3
73,西南大学,重庆,综合,38.2,58.2
76,东北师范大学,吉林,师范,38.1,60.4
76,南京邮电大学,江苏,综合,38.1,57.3
76,中国政法大学,北京,政法,38.1,79.8
79,河海大学,江苏,理工,38,64.4
80,南京信息工程大学,江苏,理工,37.9,51.9
81,西北农林科技大学,陕西,农业,37.8,60.6
82,中国石油大学（华东）,山东,理工,37.4,60.4
83,合肥工业大学,安徽,理工,37.3,60.7
84,陕西师范大学,陕西,师范,37.2,63.1
85,华南师范大学,广东,师范,37.1,60.4
85,江苏大学,江苏,综合,37.1,52.1
87,南京工业大学,江苏,理工,37,52.1
87,中国石油大学（北京）,北京,理工,37,55.4
89,西北大学,陕西,综合,36.9,63.8
89,浙江工业大学,浙江,理工,36.9,58.2
91,北京林业大学,北京,林业,36.8,65.5
91,湖南师范大学,湖南,师范,36.8,65.7
91,浙江师范大学,浙江,师范,36.8,55.2
94,首都师范大学,北京,师范,36.4,59.7
95,汕头大学,广东,综合,36.3,58.4
96,中国传媒大学,北京,语言,36.2,74.1
97,杭州电子科技大学,浙江,理工,36.1,58.8
98,扬州大学,江苏,综合,36,48.7
99,安徽大学,安徽,综合,35.9,61.3
100,华侨大学,福建,综合,35.7,53.3
